代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000061,农 产 品,5.31,-1.85,1.49,流出,-3855.89,-26.85,-1827.56,-12.73,-2028.34,-14.12,173.94,1.21,3681.95,25.64,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000062,深圳华强,30.77,-9.87,6.34,流出,-24875.47,-11.79,-16874.51,-8.0,-8000.96,-3.79,7528.17,3.57,17347.3,8.22,2026-06-26T15:03:21+08:00,2026-06-26T15:04:15+08:00
000063,中兴通讯,35.67,-7.21,5.82,流出,-195974.83,-22.95,-130019.32,-15.23,-65955.51,-7.72,42282.15,4.95,153692.68,18.0,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
000065,北方国际,10.4,-8.45,2.89,流出,-2469.87,-8.14,-1659.61,-5.47,-810.26,-2.67,272.04,0.9,2197.83,7.25,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000066,中国长城,18.57,-9.28,9.85,流出,-85677.94,-14.0,-63594.56,-10.39,-22083.37,-3.61,24112.95,3.94,61564.99,10.06,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000068,华控赛格,2.83,-3.74,2.14,流入,170.93,2.74,-10.64,-0.17,181.57,2.91,548.02,8.79,-718.96,-11.53,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
000069,华侨城Ａ,1.63,-1.81,0.91,流出,-40.02,-0.38,560.06,5.33,-600.07,-5.71,-54.28,-0.52,94.3,0.9,2026-06-26T15:03:33+08:00,2026-06-26T15:04:15+08:00
000070,特发信息,22.29,-10.01,10.66,流出,-29006.86,-13.95,-28906.11,-13.9,-100.74,-0.05,5646.57,2.72,23360.29,11.23,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000078,ST海王,1.39,1.46,2.78,流入,1436.0,14.04,317.74,3.11,1118.26,10.94,-681.45,-6.66,-754.54,-7.38,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
000088,盐 田 港,4.08,-0.97,0.55,流出,-378.13,-5.29,129.53,1.81,-507.67,-7.1,-55.45,-0.78,433.59,6.06,2026-06-26T15:03:36+08:00,2026-06-26T15:04:15+08:00
000089,深圳机场,6.13,-0.33,0.6,流出,-189.88,-2.53,615.04,8.21,-804.91,-10.74,-240.56,-3.21,430.44,5.75,2026-06-26T15:03:33+08:00,2026-06-26T15:04:15+08:00
000090,天健集团,3.15,-2.17,1.12,流入,410.07,6.16,-461.42,-6.93,871.5,13.09,-439.08,-6.6,29.01,0.44,2026-06-26T15:03:39+08:00,2026-06-26T15:04:15+08:00
000096,广聚能源,6.98,-2.65,1.39,流出,-581.68,-11.68,-159.97,-3.21,-421.71,-8.47,-258.15,-5.18,839.83,16.86,2026-06-26T15:03:42+08:00,2026-06-26T15:04:15+08:00
000099,中信海直,15.09,-6.62,2.23,流出,-3853.95,-14.5,-727.83,-2.74,-3126.11,-11.76,283.19,1.07,3570.76,13.44,2026-06-26T15:03:18+08:00,2026-06-26T15:04:15+08:00
000100,TCL科技,5.4,1.12,12.76,流出,-65117.69,-4.89,-55388.07,-4.16,-9729.62,-0.73,13904.72,1.04,51212.97,3.84,2026-06-26T15:03:21+08:00,2026-06-26T15:04:15+08:00
000151,中成股份,10.99,-3.6,3.92,流出,-295.65,-2.2,-237.53,-1.77,-58.12,-0.43,105.62,0.79,190.04,1.42,2026-06-26T15:03:45+08:00,2026-06-26T15:04:15+08:00
000153,丰原药业,5.02,-4.02,1.43,流出,-151.04,-4.55,0.0,0.0,-151.04,-4.55,176.96,5.33,-25.91,-0.78,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
000155,川能动力,12.01,-4.61,2.04,流出,-6294.95,-13.62,-3170.69,-6.86,-3124.26,-6.76,-165.15,-0.36,6460.09,13.98,2026-06-26T15:03:18+08:00,2026-06-26T15:04:15+08:00
000156,华数传媒,6.51,-1.21,0.55,流出,-219.42,-3.6,-188.31,-3.09,-31.11,-0.51,404.38,6.63,-184.96,-3.03,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000157,中联重科,7.31,-0.41,1.01,流入,2734.04,5.17,-402.97,-0.76,3137.01,5.94,929.51,1.76,-3663.55,-6.93,2026-06-26T15:03:48+08:00,2026-06-26T15:04:15+08:00
000158,常山北明,12.71,-4.29,2.14,流出,-2399.2,-5.42,-519.63,-1.17,-1879.57,-4.25,-1531.61,-3.46,3930.8,8.88,2026-06-26T15:03:21+08:00,2026-06-26T15:04:15+08:00
000159,国际实业,5.33,-3.27,2.37,流出,-675.28,-10.89,-5.69,-0.09,-669.59,-10.79,243.47,3.92,431.81,6.96,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
000166,申万宏源,4.4,-4.35,0.72,流出,-5809.87,-7.95,-4142.21,-5.67,-1667.66,-2.28,4488.9,6.14,1320.98,1.81,2026-06-26T15:03:33+08:00,2026-06-26T15:04:15+08:00
000301,东方盛虹,11.39,-1.3,0.35,流入,985.97,3.68,417.1,1.56,568.87,2.12,-444.38,-1.66,-541.59,-2.02,2026-06-26T15:03:36+08:00,2026-06-26T15:04:15+08:00
