代码,名称,0427,0428,0429,0430,0506,0507,0508,0511,0512,0513,0514,0515,0518,0519,0520,0521,0522,0525,0526,0527,0528
000099,中信海直,81.77,102.98,97.98,96.08,102.56,112.66,146.13,150.8,164.78,107.6,144.41,123.34,90.44,72.2,87.92,180.97,131.53,127.55,112.23,119.17,126.49
000100,TCL科技,197.54,162.05,218.14,361.26,313.46,360.69,335.21,477.49,278.55,284.81,238.48,350.87,225.67,253.3,232.81,1248.27,1016.25,647.18,867.81,816.02,512.29
000151,中成股份,579.36,282.26,506.96,273.39,278.94,240.34,220.06,283.15,232.81,384.34,258.75,315.71,317.95,210.6,207.01,305.74,254.71,222.26,192.62,454.0,482.93
000153,丰原药业,265.1,219.19,290.87,190.2,216.55,238.66,230.58,234.0,168.65,164.69,168.6,123.55,166.71,124.27,94.99,159.02,126.82,129.45,157.51,203.37,145.65
000155,川能动力,483.42,645.98,690.49,897.47,712.19,451.89,462.38,434.18,322.75,299.99,289.03,226.71,225.99,251.23,241.06,475.24,257.38,224.66,240.72,178.15,201.53
000156,华数传媒,58.87,58.13,63.0,42.88,75.2,84.2,75.05,75.34,64.38,55.43,68.05,66.71,129.22,108.27,82.95,84.37,76.18,63.96,73.7,73.36,81.37
000157,中联重科,87.44,134.99,196.14,169.92,156.49,139.9,197.74,400.61,264.66,138.1,165.06,111.19,121.95,87.88,86.25,148.1,92.66,106.12,89.43,108.86,77.66
000158,常山北明,287.08,291.39,204.14,144.94,233.38,206.89,215.15,170.33,178.02,182.54,205.95,148.11,172.98,126.57,220.15,251.02,152.03,378.22,382.78,255.03,156.45
000159,国际实业,330.15,297.54,352.13,308.32,337.37,335.43,359.19,531.54,347.94,363.4,1107.21,1779.48,1065.42,1203.73,666.03,754.38,1137.1,574.07,590.92,400.92,378.03
000166,申万宏源,26.23,42.63,33.93,46.27,38.34,33.42,30.43,43.99,49.0,43.27,38.91,58.19,45.26,42.0,28.96,61.08,42.81,32.46,46.96,36.62,43.13
000301,东方盛虹,35.63,48.47,74.17,57.08,50.64,57.48,35.33,36.04,27.3,35.57,53.81,46.91,48.64,24.89,25.68,41.66,39.11,38.44,22.31,26.81,27.31
000333,美的集团,37.71,44.45,48.3,50.75,52.58,54.29,40.92,63.1,52.18,47.2,56.3,61.95,54.6,48.97,43.98,45.46,44.68,33.47,35.19,37.04,35.28
000338,潍柴动力,207.26,228.5,147.51,336.29,245.93,360.45,287.81,208.34,226.06,275.9,244.41,217.35,237.01,187.63,239.6,198.06,198.91,176.2,126.05,144.48,191.66
000400,许继电气,167.13,302.31,220.8,160.02,274.03,318.08,314.44,403.81,412.4,417.65,361.68,275.17,185.42,331.09,242.59,285.15,156.39,260.54,217.91,267.87,247.48
000401,金隅冀东,36.05,40.88,55.88,210.44,85.34,57.09,49.28,80.13,45.16,32.72,47.44,47.47,42.72,24.71,21.5,32.76,39.37,24.82,30.43,44.0,29.05
000402,金 融 街,105.91,77.83,79.18,408.67,722.08,855.76,587.8,528.95,437.63,350.14,281.27,317.36,215.84,290.48,306.05,266.51,195.59,182.84,175.93,165.0,153.12
000403,派林生物,85.85,62.56,84.42,107.49,143.84,91.78,86.36,119.26,81.47,61.99,107.67,81.45,143.5,59.83,125.91,402.5,276.33,372.68,196.83,245.47,255.43
000404,长虹华意,716.21,754.72,494.62,433.15,647.56,493.7,364.89,339.48,261.28,250.46,294.24,416.63,576.67,846.19,539.32,1142.92,817.35,642.37,638.5,420.41,380.59
000407,胜利股份,203.66,304.05,314.37,593.88,392.17,353.78,200.47,275.86,218.29,137.8,195.07,179.35,404.62,222.45,609.44,557.99,356.27,422.6,260.97,260.49,204.42
000408,藏格矿业,80.27,59.02,87.21,89.43,100.53,105.77,114.25,101.44,114.95,132.5,85.16,133.22,142.95,81.42,87.43,77.4,78.61,93.81,134.13,89.35,101.34
000409,云鼎科技,113.14,117.7,78.63,54.03,124.53,127.66,133.91,142.58,144.44,96.37,155.06,120.17,115.69,112.65,103.14,115.28,87.54,178.38,696.55,427.06,286.22
000410,沈阳机床,146.29,121.19,126.06,110.03,117.45,251.46,170.7,218.86,163.32,181.61,164.73,191.02,162.77,142.25,107.25,152.75,107.54,101.69,109.14,130.94,127.4
000411,英特集团,67.51,146.02,83.92,42.87,64.03,60.41,55.7,244.28,192.25,112.73,318.74,168.57,261.49,279.99,279.35,355.42,342.53,337.65,259.1,225.93,499.58
000415,渤海租赁,122.76,151.47,230.41,153.99,256.67,151.98,144.67,138.19,133.12,207.66,116.97,144.31,200.58,188.03,129.03,121.82,117.08,188.43,131.11,132.07,115.07
000417,合百集团,187.07,154.0,198.27,222.91,190.85,476.84,206.07,437.62,420.86,604.76,769.69,603.51,121.55,330.12,1253.26,3027.54,3330.4,2940.01,1498.95,2213.53,1803.3
000419,通程控股,132.48,132.81,175.84,213.85,218.75,175.77,125.99,117.66,124.42,120.24,132.04,165.91,154.4,122.17,123.52,135.75,124.08,160.81,164.16,207.85,118.22
000420,吉林化纤,342.29,349.94,458.55,328.05,550.93,991.7,553.74,532.21,446.38,331.03,521.55,411.96,502.95,579.41,366.24,431.86,331.95,328.09,364.0,304.71,346.84
000421,南京公用,161.29,532.6,317.51,167.37,179.66,178.38,129.23,140.75,139.34,124.35,138.06,152.11,138.51,152.69,138.45,181.19,109.28,112.85,122.29,101.4,99.78
000422,湖北宜化,443.83,792.08,499.91,375.82,497.29,695.75,472.05,503.4,411.41,295.81,467.97,328.03,310.1,265.87,216.69,257.57,220.39,178.06,226.2,229.69,189.4
000423,东阿阿胶,171.44,148.7,102.31,90.74,186.87,81.52,86.36,89.88,89.14,105.32,112.33,86.32,95.29,58.63,55.25,87.63,78.21,77.88,82.87,93.45,93.77
000425,徐工机械,94.18,127.67,201.71,172.97,139.44,126.34,163.25,252.66,282.71,138.29,109.92,99.27,236.79,121.2,163.67,224.03,103.02,117.19,120.65,172.19,129.0
000426,兴业银锡,301.66,248.23,282.06,370.07,498.09,662.19,623.63,606.54,688.6,478.37,407.05,669.53,355.38,323.64,361.26,398.22,323.71,309.16,501.26,389.08,383.22
000428,华天酒店,144.61,171.68,164.46,112.35,141.75,121.87,86.93,195.03,170.13,157.46,127.87,167.22,157.15,109.11,83.74,219.34,172.73,144.69,139.73,117.47,109.63
000429,粤高速Ａ,39.98,38.29,56.55,57.82,59.4,45.94,51.89,59.07,63.03,70.08,54.06,51.04,38.69,54.41,65.57,44.06,53.22,54.77,39.0,47.66,50.58
000498,山东路桥,80.57,94.57,103.02,231.54,122.25,86.45,115.38,66.53,60.22,65.96,70.59,94.74,54.2,37.51,36.14,49.48,46.64,44.26,40.27,52.84,34.33
