代码,名称,0413,0414,0415,0416,0417,0420,0421,0422,0423,0424,0427,0428,0429,0430,0506,0507,0508,0511,0512,0513,0514,0515,0518,0519,0520,0521,0525,0526,0527,0528,0529,0601,0602,0603,0604,0605,0608,0609,0610,0611,0612,0615,0616,0617
000031,大悦城,229.45,483.57,-289.74,-383.35,474.64,204.29,-14.69,-682.41,197.3,182.98,245.13,59.03,969.26,92.76,-135.37,-883.15,332.92,310.97,624.82,926.58,-44.92,1193.13,1321.76,1058.1,78.3,985.11,503.57,357.73,-90.34,1474.51,1323.7,3709.33,482.24,425.94,-899.55,7344.69,3029.88,-597.66,20.91,62.74,44.52,-693.85,892.15,645.85
000032,深桑达Ａ,748.31,7570.31,-1104.6,346.01,-4835.09,-1695.83,-2747.29,1796.86,-972.92,-1585.16,-601.63,-1621.15,-1855.31,-6134.5,-5101.88,-1253.57,-123.64,3415.32,-6506.8,615.01,-7013.53,-1786.44,3846.81,5512.59,2824.61,451.13,-3807.41,-4737.68,-2454.78,-1662.85,-5784.79,-470.69,-1508.2,-722.25,4944.44,-742.59,-2671.64,519.38,151.26,24282.96,20193.82,30933.63,12364.6,-26997.66
000034,神州数码,-2740.33,35.39,-3170.96,1968.8,3948.55,7040.2,-8947.74,6811.33,-8280.47,7666.53,-7803.79,11616.81,-8147.15,-642.04,2820.61,18645.84,-20671.08,30771.89,-6574.53,11360.36,-17225.94,-2179.6,6256.85,7277.78,-20540.03,-6894.99,-14051.2,-40131.25,-27076.99,-5837.13,6296.73,6625.18,-2908.38,-8008.06,-9955.08,-7126.05,-6496.02,1179.84,424.7,-8398.13,-3171.13,11735.1,27969.42,-6773.73
000035,中国天楹,1077.67,-4034.54,748.73,-34.61,10110.38,3581.47,-3118.13,-2284.17,85.44,-790.42,-771.8,325.27,65.96,-4711.81,-1528.99,793.41,-6492.48,-1653.46,-3157.16,2490.38,-2148.51,-1905.96,-1604.06,-494.58,-2880.52,870.61,-1811.43,-986.81,1385.97,1340.13,-1786.3,-409.0,541.71,1292.56,-978.59,-2590.17,-1304.39,-787.86,-1337.94,860.63,-100.84,-1603.56,829.18,1344.75
000036,华联控股,1033.88,-1338.85,-2947.78,323.15,-1228.83,1018.98,-1193.1,502.11,-186.87,2509.72,1616.17,-1606.73,1012.74,-4094.47,450.04,-3031.16,16474.3,2814.4,-4264.86,-3126.49,-3843.11,-1837.12,308.44,-406.55,-64.21,-894.03,-1569.56,-139.2,251.54,-420.69,255.21,-1530.81,-702.0,337.0,1091.58,-515.94,-1017.28,627.87,-432.76,-815.23,-1880.77,1646.5,-433.95,64.47
000037,深南电A,1799.17,-1905.17,-41.61,897.07,11337.76,490.59,-2675.77,-1705.19,-464.98,-3125.94,1701.03,-1904.27,-3681.14,-1172.88,721.34,170.31,-1271.64,-960.66,5368.09,373.94,-3455.0,-4411.29,-660.94,1083.1,-4318.73,-645.6,-138.83,-724.41,2400.8,16.77,14075.51,2866.55,-4402.52,-3154.5,-2711.09,-2714.05,-2260.2,9009.39,-3873.04,2574.48,-1119.33,27.5,1235.84,-831.25
000039,中集集团,204.34,-4287.2,-3202.75,-3891.23,-9573.13,-9808.29,-2767.65,-7275.2,-4276.96,-10892.22,-1994.88,-557.72,14823.78,14376.21,27626.54,-8625.16,-11004.5,237.82,-5607.17,5078.91,-1892.37,-6801.06,-9551.56,-1021.85,-11631.21,-13136.05,-4271.7,-8138.56,-4799.35,8614.8,-1257.37,-3835.58,-3492.97,-163.83,-2699.01,-980.51,-1271.49,-7365.52,-3218.07,1500.69,-4030.93,-67.45,380.64,477.04
000042,中洲控股,244.01,-242.02,-63.48,-321.14,91.94,-543.52,-245.62,-684.27,-677.4,269.19,-62.79,55.59,-523.33,5945.48,-2372.29,449.64,895.65,1668.55,286.95,165.59,-364.6,348.56,826.41,67.6,-349.04,-141.09,-626.09,135.61,262.9,-269.58,134.99,238.92,-14.11,209.48,113.45,-338.86,-615.38,-780.62,-1184.8,-1069.26,319.68,213.72,25.9,-181.4
000045,深纺织Ａ,-829.25,-359.62,-626.56,-1108.8,-1088.0,-2889.7,-1099.09,-490.97,-703.18,1040.36,-930.9,39.57,376.9,-676.63,-44.57,-830.11,103.58,-281.94,171.5,-750.94,555.33,-757.53,-1955.91,597.86,-774.64,405.64,-1483.64,-211.42,-752.18,-389.49,-1504.53,-1257.84,242.22,-68.59,26.55,-136.99,-413.1,-565.19,-723.22,-268.34,-341.41,49.28,-232.12,115.15
000048,京基智农,195.59,-70.36,-1814.08,-2958.59,-4605.0,-1019.66,-1146.11,-2081.12,-3098.52,-3025.67,-3904.78,1592.88,2961.99,132.91,-1768.57,517.09,-1021.85,-79.11,-1316.24,-3039.35,-1111.56,-1408.42,-1173.88,350.25,-725.82,-176.92,-2106.3,-304.52,-545.49,-876.59,-460.43,3143.16,6876.95,1508.57,1354.67,2118.19,998.24,8920.95,6715.37,7007.1,-19653.74,-3140.99,3732.27,3044.44
